constructor_Id,constructor_Ref,name,nationality,time_stamp
1,mclaren,McLaren,British,2025-03-27 15:38:24.620840
2,bmw_sauber,BMW Sauber,German,2025-03-27 15:38:24.620840
3,williams,Williams,British,2025-03-27 15:38:24.620840
4,renault,Renault,French,2025-03-27 15:38:24.620840
5,toro_rosso,Toro Rosso,Italian,2025-03-27 15:38:24.620840
6,ferrari,Ferrari,Italian,2025-03-27 15:38:24.620840
7,toyota,Toyota,Japanese,2025-03-27 15:38:24.620840
8,super_aguri,Super Aguri,Japanese,2025-03-27 15:38:24.620840
9,red_bull,Red Bull,Austrian,2025-03-27 15:38:24.620840
10,force_india,Force India,Indian,2025-03-27 15:38:24.620840
11,honda,Honda,Japanese,2025-03-27 15:38:24.620840
12,spyker,Spyker,Dutch,2025-03-27 15:38:24.620840
13,mf1,MF1,Russian,2025-03-27 15:38:24.620840
14,spyker_mf1,Spyker MF1,Dutch,2025-03-27 15:38:24.620840
15,sauber,Sauber,Swiss,2025-03-27 15:38:24.620840
16,bar,BAR,British,2025-03-27 15:38:24.620840
17,jordan,Jordan,Irish,2025-03-27 15:38:24.620840
18,minardi,Minardi,Italian,2025-03-27 15:38:24.620840
19,jaguar,Jaguar,British,2025-03-27 15:38:24.620840
20,prost,Prost,French,2025-03-27 15:38:24.620840
21,arrows,Arrows,British,2025-03-27 15:38:24.620840
22,benetton,Benetton,Italian,2025-03-27 15:38:24.620840
23,brawn,Brawn,British,2025-03-27 15:38:24.620840
24,stewart,Stewart,British,2025-03-27 15:38:24.620840
25,tyrrell,Tyrrell,British,2025-03-27 15:38:24.620840
26,lola,Lola,British,2025-03-27 15:38:24.620840
27,ligier,Ligier,French,2025-03-27 15:38:24.620840
28,forti,Forti,Italian,2025-03-27 15:38:24.620840
29,footwork,Footwork,British,2025-03-27 15:38:24.620840
30,pacific,Pacific,British,2025-03-27 15:38:24.620840
31,simtek,Simtek,British,2025-03-27 15:38:24.620840
32,team_lotus,Team Lotus,British,2025-03-27 15:38:24.620840
33,larrousse,Larrousse,French,2025-03-27 15:38:24.620840
34,brabham,Brabham,British,2025-03-27 15:38:24.620840
35,dallara,Dallara,Italian,2025-03-27 15:38:24.620840
36,fondmetal,Fondmetal,Italian,2025-03-27 15:38:24.620840
37,march,March,British,2025-03-27 15:38:24.620840
38,moda,Andrea Moda,Italian,2025-03-27 15:38:24.620840
39,ags,AGS,French,2025-03-27 15:38:24.620840
40,lambo,Lambo,Italian,2025-03-27 15:38:24.620840
41,leyton,Leyton House,British,2025-03-27 15:38:24.620840
42,coloni,Coloni,Italian,2025-03-27 15:38:24.620840
44,eurobrun,Euro Brun,Italian,2025-03-27 15:38:24.620840
45,osella,Osella,Italian,2025-03-27 15:38:24.620840
46,onyx,Onyx,British,2025-03-27 15:38:24.620840
47,life,Life,Italian,2025-03-27 15:38:24.620840
48,rial,Rial,German,2025-03-27 15:38:24.620840
49,zakspeed,Zakspeed,German,2025-03-27 15:38:24.620840
50,ram,RAM,British,2025-03-27 15:38:24.620840
51,alfa,Alfa Romeo,Italian,2025-03-27 15:38:24.620840
52,spirit,Spirit,British,2025-03-27 15:38:24.620840
53,toleman,Toleman,British,2025-03-27 15:38:24.620840
54,ats,ATS,Italian,2025-03-27 15:38:24.620840
55,theodore,Theodore,Hong Kong,2025-03-27 15:38:24.620840
56,fittipaldi,Fittipaldi,Brazilian,2025-03-27 15:38:24.620840
57,ensign,Ensign,British,2025-03-27 15:38:24.620840
58,shadow,Shadow,British,2025-03-27 15:38:24.620840
59,wolf,Wolf,Canadian,2025-03-27 15:38:24.620840
60,merzario,Merzario,Italian,2025-03-27 15:38:24.620840
61,kauhsen,Kauhsen,German,2025-03-27 15:38:24.620840
62,rebaque,Rebaque,Mexican,2025-03-27 15:38:24.620840
63,surtees,Surtees,British,2025-03-27 15:38:24.620840
64,hesketh,Hesketh,British,2025-03-27 15:38:24.620840
