race_name,year,location,date,name,driver_number,nationality,position,fastest_Lap,time,points
Australian Grand Prix,2009,Melbourne,2009-03-29,Lewis Hamilton,44,British,1,39,06:00:00,10.0
Malaysian Grand Prix,2009,Kuala Lumpur,2009-04-05,Nick Heidfeld,\N,German,2,41,09:00:00,8.0
Chinese Grand Prix,2009,Sakhir,2009-04-19,Nico Rosberg,6,German,3,41,07:00:00,6.0
Bahrain Grand Prix,2009,Montmeló,2009-04-26,Fernando Alonso,14,Spanish,4,58,12:00:00,5.0
Spanish Grand Prix,2009,Istanbul,2009-05-10,Heikki Kovalainen,\N,Finnish,5,43,12:00:00,4.0
Monaco Grand Prix,2009,Monte-Carlo,2009-05-24,Kazuki Nakajima,\N,Japanese,6,50,12:00:00,3.0
Turkish Grand Prix,2009,Montreal,2009-06-07,Sébastien Bourdais,\N,French,7,22,12:00:00,2.0
British Grand Prix,2009,Magny Cours,2009-06-21,Kimi Räikkönen,7,Finnish,8,20,12:00:00,1.0
German Grand Prix,2009,Silverstone,2009-07-12,Robert Kubica,88,Polish,\N,15,12:00:00,0.0
Hungarian Grand Prix,2009,Hockenheim,2009-07-26,Timo Glock,\N,German,\N,23,12:00:00,0.0
European Grand Prix,2009,Budapest,2009-08-23,Takuma Sato,\N,Japanese,\N,24,12:00:00,0.0
Belgian Grand Prix,2009,Valencia,2009-08-30,Nelson Piquet Jr.,\N,Brazilian,\N,20,12:00:00,0.0
Italian Grand Prix,2009,Spa,2009-09-13,Felipe Massa,19,Brazilian,\N,23,12:00:00,0.0
Singapore Grand Prix,2009,Monza,2009-09-27,David Coulthard,\N,British,\N,21,12:00:00,0.0
Japanese Grand Prix,2009,Marina Bay,2009-10-04,Jarno Trulli,\N,Italian,\N,18,05:00:00,0.0
Brazilian Grand Prix,2009,Oyama,2009-10-18,Adrian Sutil,99,German,\N,8,16:00:00,0.0
Abu Dhabi Grand Prix,2009,Shanghai,2009-11-01,Mark Webber,\N,Australian,\N,\N,11:00:00,0.0
Australian Grand Prix,2008,São Paulo,2008-03-16,Jenson Button,22,British,\N,\N,04:30:00,0.0
Malaysian Grand Prix,2008,Indianapolis,2008-03-23,Anthony Davidson,\N,British,\N,\N,07:00:00,0.0
Bahrain Grand Prix,2008,Nürburg,2008-04-06,Sebastian Vettel,5,German,\N,\N,11:30:00,0.0
Spanish Grand Prix,2008,Imola,2008-04-27,Giancarlo Fisichella,\N,Italian,\N,\N,12:00:00,0.0
Turkish Grand Prix,2008,Suzuka,2008-05-11,Rubens Barrichello,\N,Brazilian,\N,44,12:00:00,0.0
Monaco Grand Prix,2008,Spielburg,2008-05-25,Ralf Schumacher,\N,German,1,37,12:00:00,10.0
Canadian Grand Prix,2008,Abu Dhabi,2008-06-08,Vitantonio Liuzzi,\N,Italian,2,39,17:00:00,8.0
French Grand Prix,2008,Buenos Aires,2008-06-22,Alexander Wurz,\N,Austrian,3,19,12:00:00,6.0
British Grand Prix,2008,Jerez de la Frontera,2008-07-06,Scott Speed,\N,American,4,53,12:00:00,5.0
German Grand Prix,2008,Estoril,2008-07-20,Christijan Albers,\N,Dutch,5,53,12:00:00,4.0
Hungarian Grand Prix,2008,Okayama,2008-08-03,Markus Winkelhock,\N,German,6,55,12:00:00,3.0
European Grand Prix,2008,Adelaide,2008-08-24,Sakon Yamamoto,\N,Japanese,7,53,12:00:00,2.0
Belgian Grand Prix,2008,Midrand,2008-09-07,Michael Schumacher,\N,German,8,40,12:00:00,1.0
Italian Grand Prix,2008,Castle Donington,2008-09-14,Juan Pablo Montoya,\N,Colombian,9,55,12:00:00,0.0
Singapore Grand Prix,2008,Mexico City,2008-09-28,Christian Klien,\N,Austrian,10,56,12:00:00,0.0
Japanese Grand Prix,2008,Phoenix,2008-10-12,Tiago Monteiro,\N,Portuguese,11,52,04:30:00,0.0
Chinese Grand Prix,2008,Le Castellet,2008-10-19,Yuji Ide,\N,Japanese,12,52,07:00:00,0.0
Brazilian Grand Prix,2008,Yeongam County,2008-11-02,Jacques Villeneuve,\N,Canadian,13,55,17:00:00,0.0
Australian Grand Prix,2007,Rio de Janeiro,2007-03-18,Franck Montagny,\N,French,14,55,03:00:00,0.0
Malaysian Grand Prix,2007,Detroit,2007-04-08,Pedro de la Rosa,\N,Spanish,15,55,07:00:00,0.0
Bahrain Grand Prix,2007,Kent,2007-04-15,Robert Doornbos,\N,Dutch,16,53,11:30:00,0.0
