race_year,circuit_location,race_name,race_date,driver_name,driver_number,driver_nationality,grid,position,fastest_lap,race_time,points,team,created_date
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Lewis Hamilton,44,British,2,1,58,1:35:49.641,25,Mercedes,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Max Verstappen,33,Dutch,3,2,60,+4.470,19,Red Bull,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Daniel Ricciardo,3,Australian,6,3,53,+14.613,15,Renault,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Sergio Pérez,11,Mexican,9,4,58,+16.070,12,Racing Point,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Carlos Sainz,55,Spanish,10,5,53,+21.905,10,McLaren,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Pierre Gasly,10,French,12,6,53,+22.766,8,AlphaTauri,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Charles Leclerc,16,Monegasque,4,7,54,+30.814,6,Ferrari,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Nico Hülkenberg,27,German,20,8,58,+32.596,4,Racing Point,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Romain Grosjean,8,French,16,9,54,+39.081,2,Haas F1 Team,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Antonio Giovinazzi,99,Italian,14,10,38,+40.035,1,Alfa Romeo,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Sebastian Vettel,5,German,11,11,43,+40.810,0,Ferrari,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Kimi Räikkönen,7,Finnish,19,12,54,+41.476,0,Alfa Romeo,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Kevin Magnussen,20,Danish,15,13,37,+49.585,0,Haas F1 Team,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Nicholas Latifi,6,Canadian,18,14,39,+54.449,0,Williams,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Daniil Kvyat,26,Russian,13,15,41,+55.588,0,AlphaTauri,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Lando Norris,4,British,8,null,40,\N,0,McLaren,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Alexander Albon,23,Thai,5,null,9,\N,0,Red Bull,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Esteban Ocon,31,French,7,null,21,\N,0,Renault,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,Valtteri Bottas,77,Finnish,1,null,8,\N,0,Mercedes,2024-09-30T06:19:53.613+0000
2020,Nürburg,Eifel Grand Prix,2020-10-11T13:10:00.000+0000,George Russell,63,British,17,null,6,\N,0,Williams,2024-09-30T06:19:53.613+0000
2020,Imola,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000+0000,Lewis Hamilton,44,British,2,1,63,1:28:32.430,26,Mercedes,2024-09-30T06:19:53.613+0000
2020,Imola,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000+0000,Valtteri Bottas,77,Finnish,1,2,63,+5.783,18,Mercedes,2024-09-30T06:19:53.613+0000
2020,Imola,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000+0000,Daniel Ricciardo,3,Australian,5,3,62,+14.320,15,Renault,2024-09-30T06:19:53.613+0000
2020,Imola,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000+0000,Daniil Kvyat,26,Russian,8,4,62,+15.141,12,AlphaTauri,2024-09-30T06:19:53.613+0000
