constructor_Id,constructor_Ref,name,nationality,time_stamp
1,mclaren,McLaren,British,2025-03-26 19:47:57.776805
2,bmw_sauber,BMW Sauber,German,2025-03-26 19:47:57.776805
3,williams,Williams,British,2025-03-26 19:47:57.776805
4,renault,Renault,French,2025-03-26 19:47:57.776805
5,toro_rosso,Toro Rosso,Italian,2025-03-26 19:47:57.776805
6,ferrari,Ferrari,Italian,2025-03-26 19:47:57.776805
7,toyota,Toyota,Japanese,2025-03-26 19:47:57.776805
8,super_aguri,Super Aguri,Japanese,2025-03-26 19:47:57.776805
9,red_bull,Red Bull,Austrian,2025-03-26 19:47:57.776805
10,force_india,Force India,Indian,2025-03-26 19:47:57.776805
11,honda,Honda,Japanese,2025-03-26 19:47:57.776805
12,spyker,Spyker,Dutch,2025-03-26 19:47:57.776805
13,mf1,MF1,Russian,2025-03-26 19:47:57.776805
14,spyker_mf1,Spyker MF1,Dutch,2025-03-26 19:47:57.776805
15,sauber,Sauber,Swiss,2025-03-26 19:47:57.776805
16,bar,BAR,British,2025-03-26 19:47:57.776805
17,jordan,Jordan,Irish,2025-03-26 19:47:57.776805
18,minardi,Minardi,Italian,2025-03-26 19:47:57.776805
19,jaguar,Jaguar,British,2025-03-26 19:47:57.776805
20,prost,Prost,French,2025-03-26 19:47:57.776805
21,arrows,Arrows,British,2025-03-26 19:47:57.776805
22,benetton,Benetton,Italian,2025-03-26 19:47:57.776805
23,brawn,Brawn,British,2025-03-26 19:47:57.776805
24,stewart,Stewart,British,2025-03-26 19:47:57.776805
25,tyrrell,Tyrrell,British,2025-03-26 19:47:57.776805
26,lola,Lola,British,2025-03-26 19:47:57.776805
27,ligier,Ligier,French,2025-03-26 19:47:57.776805
28,forti,Forti,Italian,2025-03-26 19:47:57.776805
29,footwork,Footwork,British,2025-03-26 19:47:57.776805
30,pacific,Pacific,British,2025-03-26 19:47:57.776805
31,simtek,Simtek,British,2025-03-26 19:47:57.776805
32,team_lotus,Team Lotus,British,2025-03-26 19:47:57.776805
33,larrousse,Larrousse,French,2025-03-26 19:47:57.776805
34,brabham,Brabham,British,2025-03-26 19:47:57.776805
35,dallara,Dallara,Italian,2025-03-26 19:47:57.776805
36,fondmetal,Fondmetal,Italian,2025-03-26 19:47:57.776805
37,march,March,British,2025-03-26 19:47:57.776805
38,moda,Andrea Moda,Italian,2025-03-26 19:47:57.776805
39,ags,AGS,French,2025-03-26 19:47:57.776805
40,lambo,Lambo,Italian,2025-03-26 19:47:57.776805
41,leyton,Leyton House,British,2025-03-26 19:47:57.776805
42,coloni,Coloni,Italian,2025-03-26 19:47:57.776805
44,eurobrun,Euro Brun,Italian,2025-03-26 19:47:57.776805
45,osella,Osella,Italian,2025-03-26 19:47:57.776805
46,onyx,Onyx,British,2025-03-26 19:47:57.776805
47,life,Life,Italian,2025-03-26 19:47:57.776805
48,rial,Rial,German,2025-03-26 19:47:57.776805
49,zakspeed,Zakspeed,German,2025-03-26 19:47:57.776805
50,ram,RAM,British,2025-03-26 19:47:57.776805
51,alfa,Alfa Romeo,Italian,2025-03-26 19:47:57.776805
52,spirit,Spirit,British,2025-03-26 19:47:57.776805
53,toleman,Toleman,British,2025-03-26 19:47:57.776805
54,ats,ATS,Italian,2025-03-26 19:47:57.776805
55,theodore,Theodore,Hong Kong,2025-03-26 19:47:57.776805
56,fittipaldi,Fittipaldi,Brazilian,2025-03-26 19:47:57.776805
57,ensign,Ensign,British,2025-03-26 19:47:57.776805
58,shadow,Shadow,British,2025-03-26 19:47:57.776805
59,wolf,Wolf,Canadian,2025-03-26 19:47:57.776805
60,merzario,Merzario,Italian,2025-03-26 19:47:57.776805
61,kauhsen,Kauhsen,German,2025-03-26 19:47:57.776805
62,rebaque,Rebaque,Mexican,2025-03-26 19:47:57.776805
63,surtees,Surtees,British,2025-03-26 19:47:57.776805
64,hesketh,Hesketh,British,2025-03-26 19:47:57.776805
65,martini,Martini,French,2025-03-26 19:47:57.776805
66,brm,BRM,British,2025-03-26 19:47:57.776805
67,penske,Penske,American,2025-03-26 19:47:57.776805
68,lec,LEC,British,2025-03-26 19:47:57.776805
69,mcguire,McGuire,Australian,2025-03-26 19:47:57.776805
70,boro,Boro,Dutch,2025-03-26 19:47:57.776805
71,apollon,Apollon,Swiss,2025-03-26 19:47:57.776805
72,kojima,Kojima,Japanese,2025-03-26 19:47:57.776805
73,parnelli,Parnelli,American,2025-03-26 19:47:57.776805
74,maki,Maki,Japanese,2025-03-26 19:47:57.776805
75,hill,Embassy Hill,British,2025-03-26 19:47:57.776805
76,lyncar,Lyncar,British,2025-03-26 19:47:57.776805
77,trojan,Trojan,British,2025-03-26 19:47:57.776805
78,amon,Amon,New Zealand,2025-03-26 19:47:57.776805
79,token,Token,British,2025-03-26 19:47:57.776805
80,iso_marlboro,Iso Marlboro,British,2025-03-26 19:47:57.776805
81,tecno,Tecno,Italian,2025-03-26 19:47:57.776805
82,matra,Matra,French,2025-03-26 19:47:57.776805
83,politoys,Politoys,British,2025-03-26 19:47:57.776805
84,connew,Connew,British,2025-03-26 19:47:57.776805
85,bellasi,Bellasi,Swiss,2025-03-26 19:47:57.776805
86,tomaso,De Tomaso,Italian,2025-03-26 19:47:57.776805
87,cooper,Cooper,British,2025-03-26 19:47:57.776805
88,eagle,Eagle,American,2025-03-26 19:47:57.776805
89,lds,LDS,South African,2025-03-26 19:47:57.776805
90,protos,Protos,British,2025-03-26 19:47:57.776805
91,shannon,Shannon,British,2025-03-26 19:47:57.776805
92,scirocco,Scirocco,British,2025-03-26 19:47:57.776805
93,re,RE,Rhodesian,2025-03-26 19:47:57.776805
94,brp,BRP,British,2025-03-26 19:47:57.776805
95,porsche,Porsche,German,2025-03-26 19:47:57.776805
96,derrington,Derrington,British,2025-03-26 19:47:57.776805
97,gilby,Gilby,British,2025-03-26 19:47:57.776805
98,stebro,Stebro,Canadian,2025-03-26 19:47:57.776805
