race_Id,year,round,circuit_Id,race_name,date,time,timestamp
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00,2025-03-26 20:53:56.531855
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00,2025-03-26 20:53:56.531855
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00,2025-03-26 20:53:56.531855
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00,2025-03-26 20:53:56.531855
5,2009,5,4,Spanish Grand Prix,2009-05-10,12:00:00,2025-03-26 20:53:56.531855
6,2009,6,6,Monaco Grand Prix,2009-05-24,12:00:00,2025-03-26 20:53:56.531855
7,2009,7,5,Turkish Grand Prix,2009-06-07,12:00:00,2025-03-26 20:53:56.531855
8,2009,8,9,British Grand Prix,2009-06-21,12:00:00,2025-03-26 20:53:56.531855
9,2009,9,20,German Grand Prix,2009-07-12,12:00:00,2025-03-26 20:53:56.531855
10,2009,10,11,Hungarian Grand Prix,2009-07-26,12:00:00,2025-03-26 20:53:56.531855
11,2009,11,12,European Grand Prix,2009-08-23,12:00:00,2025-03-26 20:53:56.531855
12,2009,12,13,Belgian Grand Prix,2009-08-30,12:00:00,2025-03-26 20:53:56.531855
13,2009,13,14,Italian Grand Prix,2009-09-13,12:00:00,2025-03-26 20:53:56.531855
14,2009,14,15,Singapore Grand Prix,2009-09-27,12:00:00,2025-03-26 20:53:56.531855
15,2009,15,22,Japanese Grand Prix,2009-10-04,05:00:00,2025-03-26 20:53:56.531855
16,2009,16,18,Brazilian Grand Prix,2009-10-18,16:00:00,2025-03-26 20:53:56.531855
17,2009,17,24,Abu Dhabi Grand Prix,2009-11-01,11:00:00,2025-03-26 20:53:56.531855
18,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,2025-03-26 20:53:56.531855
19,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,2025-03-26 20:53:56.531855
20,2008,3,3,Bahrain Grand Prix,2008-04-06,11:30:00,2025-03-26 20:53:56.531855
21,2008,4,4,Spanish Grand Prix,2008-04-27,12:00:00,2025-03-26 20:53:56.531855
22,2008,5,5,Turkish Grand Prix,2008-05-11,12:00:00,2025-03-26 20:53:56.531855
23,2008,6,6,Monaco Grand Prix,2008-05-25,12:00:00,2025-03-26 20:53:56.531855
24,2008,7,7,Canadian Grand Prix,2008-06-08,17:00:00,2025-03-26 20:53:56.531855
25,2008,8,8,French Grand Prix,2008-06-22,12:00:00,2025-03-26 20:53:56.531855
26,2008,9,9,British Grand Prix,2008-07-06,12:00:00,2025-03-26 20:53:56.531855
27,2008,10,10,German Grand Prix,2008-07-20,12:00:00,2025-03-26 20:53:56.531855
28,2008,11,11,Hungarian Grand Prix,2008-08-03,12:00:00,2025-03-26 20:53:56.531855
29,2008,12,12,European Grand Prix,2008-08-24,12:00:00,2025-03-26 20:53:56.531855
30,2008,13,13,Belgian Grand Prix,2008-09-07,12:00:00,2025-03-26 20:53:56.531855
31,2008,14,14,Italian Grand Prix,2008-09-14,12:00:00,2025-03-26 20:53:56.531855
32,2008,15,15,Singapore Grand Prix,2008-09-28,12:00:00,2025-03-26 20:53:56.531855
33,2008,16,16,Japanese Grand Prix,2008-10-12,04:30:00,2025-03-26 20:53:56.531855
34,2008,17,17,Chinese Grand Prix,2008-10-19,07:00:00,2025-03-26 20:53:56.531855
35,2008,18,18,Brazilian Grand Prix,2008-11-02,17:00:00,2025-03-26 20:53:56.531855
36,2007,1,1,Australian Grand Prix,2007-03-18,03:00:00,2025-03-26 20:53:56.531855
37,2007,2,2,Malaysian Grand Prix,2007-04-08,07:00:00,2025-03-26 20:53:56.531855
38,2007,3,3,Bahrain Grand Prix,2007-04-15,11:30:00,2025-03-26 20:53:56.531855
39,2007,4,4,Spanish Grand Prix,2007-05-13,12:00:00,2025-03-26 20:53:56.531855
40,2007,5,6,Monaco Grand Prix,2007-05-27,12:00:00,2025-03-26 20:53:56.531855
